epoch,step,train_loss,val_loss,val_r_square
0,1227,,1.0435254573822021,0.013440997339785099
0,1227,1.3532196283340454,,
1,2455,,1.0395996570587158,0.01715269312262535
1,2455,1.3175519704818726,,
2,3683,,1.0397015810012817,0.01705603115260601
2,3683,1.3180826902389526,,
3,4911,,1.0391716957092285,0.017557092010974884
3,4911,1.318828821182251,,
4,6139,,1.0393073558807373,0.017428884282708168
4,6139,1.317938208580017,,
5,7367,,1.0393893718719482,0.017351260408759117
5,7367,1.3171306848526,,
6,8595,,1.0389329195022583,0.01778288185596466
6,8595,1.316633701324463,,
7,9823,,1.037716031074524,0.018933353945612907
7,9823,1.3157907724380493,,
8,11051,,1.035680890083313,0.0208573080599308
8,11051,1.3149532079696655,,
9,12279,,1.0375680923461914,0.01907315105199814
9,12279,1.3150290250778198,,
10,13507,,1.0381892919540405,0.018485913053154945
10,13507,1.3144117593765259,,
11,14735,,1.0374319553375244,0.019201818853616714
11,14735,1.3143104314804077,,
12,15963,,1.037470817565918,0.019165214151144028
12,15963,1.3139417171478271,,
13,17191,,1.0371195077896118,0.019497232511639595
13,17191,1.3135746717453003,,
14,18419,,1.0366853475570679,0.019907701760530472
14,18419,1.3134902715682983,,
15,19647,,1.0363415479660034,0.020232727751135826
15,19647,1.3115816116333008,,
16,20875,,1.0363587141036987,0.020216450095176697
16,20875,1.3110052347183228,,
17,22103,,1.0357029438018799,0.020836520940065384
17,22103,1.3109486103057861,,
18,23331,,1.0369677543640137,0.019640615209937096
18,23331,1.3106974363327026,,
19,24559,,1.0363651514053345,0.020210379734635353
19,24559,1.3105944395065308,,
20,25787,,1.0370614528656006,0.019552046433091164
20,25787,1.3104877471923828,,
21,27015,,1.0361891984939575,0.02037675678730011
21,27015,1.308889389038086,,
22,28243,,1.0362805128097534,0.02029048651456833
22,28243,1.3086133003234863,,
23,29471,,1.036271572113037,0.020298948511481285
23,29471,1.3086298704147339,,
24,30699,,1.0376235246658325,0.019020726904273033
24,30699,1.3084132671356201,,
25,31927,,1.036930799484253,0.019675657153129578
25,31927,1.3083807229995728,,
26,33155,,1.0380609035491943,0.018607039004564285
26,33155,1.307963252067566,,
27,34383,,1.0362552404403687,0.020314307883381844
27,34383,1.3070275783538818,,
28,35611,,1.0362119674682617,0.020355327054858208
28,35611,1.3069428205490112,,
29,36839,,1.0361337661743164,0.020429179072380066
29,36839,1.306831955909729,,
30,38067,,1.037110447883606,0.019505785778164864
30,38067,1.306725025177002,,
31,39295,,1.0368399620056152,0.019761649891734123
31,39295,1.3065872192382812,,
32,40523,,1.036645531654358,0.01994531787931919
32,40523,1.3066755533218384,,
33,41751,,1.0367233753204346,0.01987173967063427
33,41751,1.3061621189117432,,
